PHRASE_GE_BEFORE;QUESTION_GE;PHRASE_GE_AFTER;PHRASE_RU
;ვინ;ხარ;ТЫ КТО?
;ვინ;არის;КТО ЭТО?
;ვინ;არის შენი ძმა;КТО ТВОЙ БРАТ?
;ვინ;უნდა ნაყინი;КТО ХОЧЕТ МОРОЖЕНОЕ?
;ვინ;არის ის გოგო;КТО ТА ДЕВУШКА?
;ვინ;არის ეს კაცი;КТО ЭТОТ МУЖЧИНА?
;რა;არის ეს;ЧТО ЭТО?
;რა;დღეა დღეს;КАКОЙ СЕГОДНЯ ДЕНЬ?
ეს;რა;ფერია;КАКОЙ ЭТО ЦВЕТ?
;რა;ფერია ცა;КАКОГО ЦВЕТА НЕБО?
;რა;გინდა;ЧЕГО ТЫ ХОЧЕШЬ?
;რა;გქვია;КАК ТЕБЯ ЗОВУТ?
;რა;გვარი ხარ;КАКАЯ У ТЕБЯ ФАМИЛИЯ?
;რა;ენები იცი;КАКИЕ ЯЗЫКИ ТЫ ЗНАЕШЬ?
;რა;გნებავთ;ЧЕГО ЖЕЛАЕТЕ?
;ვისი;ჩანთაა;ЧЬЯ ЭТО СУМКА?
;ვისი;ბავშვია;ЧЕЙ ЭТО РЕБЕНОК?
ეს;ვისი;მანქანა არის;ЧЬЯ ЭТО МАШИНА?
;Სად;ვართ;ГДЕ МЫ?
;Სად;არის შენი მეუღლე;ГДЕ ТВОЙ МУЖ?
;Სად;არის ის ახლა;ГДЕ ОНА СЕЙЧАС?
;Სად;ხარ ამ პარასკევს;ГДЕ ТЫ В ЭТУ ПЯТНИЦУ?
;Სად;არის ეს რესტორანი;ГДЕ ЭТОТ РЕСТОРАН?
;Სად;იყავი წუხელ;ГДЕ ТЫ БЫЛ ПРОШЛОЙ НОЧЬЮ?
;Საიდან;არიან;ОТКУДА ОНИ?
;Საიდან;იცი ეს;ОТКУДА ТЫ ЭТО ЗНАЕШЬ?
ფული;Საიდან;;ОТКУДА ДЕНЬГИ?
ქართული;Საიდან;იცი;ОТКУДА ТЫ ЗНАЕШЬ ГРУЗИНСКИЙ?
თქვენ;სადაური;ხართ;ОТКУДА ВЫ РОДОМ?
მე თბილისიდან ვარ, შენ;სადაური;ხარ;Я ИЗ ТБИЛИСИ, А ТЫ ОТКУДА ?
;რატომ;ვარ აქ;ЗАЧЕМ Я ЗДЕСЬ?
;რატომ;არის ბალახი მწვანე;ПОЧЕМУ ТРАВА ЗЕЛЕНАЯ?
არ ვიცი;რატომ;;НЕ ЗНАЮ ПОЧЕМУ ?
;რატომ;არ უნდათ;ПОЧЕМУ ОНИ НЕ ХОТЯТ?
;რატომ;არის დაღლილი;ПОЧЕМУ ОНА УСТАВШАЯ?
;როდის;იქნება კონცერტი;КОГДА БУДЕТ КОНЦЕРТ?
;როდის;იქნები საქართველოში;КОГДА БУДЕШЬ В ГРУЗИИ?
;როდის;არის ქორწილი;КОГДА СВАДЬБА?
;როდის;იყო მზე ბოლოს;КОГДА В ПОСЛЕДНИЙ РАЗ БЫЛО СОЛНЦЕ?
;რომელი;არის შენი შეყვარებული;КОТОРЫЙ (ИЗ НИХ) ТВОЙ БОЙФРЕНД?
;რომელი;საათია;КОТОРЫЙ ЧАС?
;რომელი;მანქანა გყავს;КАКАЯ У ТЕБЯ МАШИНА?
;რომელი;ფერი მოსწონს;КАКОЙ ЦВЕТ ЕЙ НРАВИТСЯ?
;რომელი;შენი საყვარელი სეზონი;КАКОЕ ТВОЕ ЛЮБИМОЕ ВРЕМЯ ГОДА?
;რომელი;წელია;КАКОЙ СЕЙЧАС ГОД?
;რომელი;ნამცხვარი გნებავთ;КАКОЕ ПИРОЖНОЕ ЖЕЛАЕТЕ?
;როგორ;ხარ;КАК ДЕЛА?
;როგორ;არის დედაშენი;КАК ТВОЯ МАМА?
;როგორ;მუშაობს;КАК ЭТО РАБОТАЕТ?
;როგორი;ბავშვი იყავი;КАКОЙ ТЫ БЫЛ В ДЕТСТВЕ?
;როგორი;არის მისი მეგობარი;КАКОВ ЕЁ ДРУГ?
;როგორი;ამინდია ახლა;КАКАЯ СЕЙЧАС ПОГОДА?
;როგორი;გემო აქვს;КАКОЙ ОН НА ВКУС?
;რამდენი;მსხალია ჩვენი;СКОЛЬКО ГРУШ НАШИ?
;რამდენი;და გყავს;СКОЛЬКО У ТЕБЯ СЕСТЕР?
;რამდენი;ქალაქია სომხეთში;СКОЛЬКО В АРМЕНИИ ГОРОДОВ?
;რამდენი;ნაღდი გაქვს ახლა;СКОЛЬКО У ТЕБЯ СЕЙЧАС НАЛИЧНЫХ?
;რამდენი;საათი;СКОЛЬКО ЧАСОВ?
;რამდენი;ფორთოხალია ყუთში;СКОЛЬКО АПЕЛЬСИНОВ В ЯЩИКЕ?
